,area,area_sqft,bedrooms,bathrooms,total_price
0,Karapakkam,1004,1.0,1.0,8124400
1,Anna Nagar,1986,2.0,1.0,22781941
2,Adyar,909,1.0,1.0,13672408
3,Velachery,1855,3.0,2.0,10063653
4,Karapakkam,1226,1.0,1.0,7717313
5,Chrompet,1220,2.0,1.0,13002093
6,Chrompet,1167,1.0,1.0,8785897
7,Velachery,1847,3.0,2.0,17640263
8,Chrompet,771,1.0,1.0,8599784
9,Velachery,1635,2.0,1.0,8528251
10,Chrompet,1203,2.0,1.0,15460830
11,Chrompet,1054,1.0,1.0,9837169
12,Chrompet,1196,1.0,1.0,9099021
13,Adyar,1056,1.0,1.0,9743177
14,Velachery,1865,3.0,2.0,16414161
15,Velachery,1868,3.0,2.0,16499784
16,Karapakkam,1639,2.0,2.0,9019552
17,Chrompet,796,1.0,1.0,11359965
18,Adyar,1136,1.0,1.0,8660489
19,Anna Nagar,1902,2.0,1.0,22157385
20,Chrompet,1069,1.0,1.0,11232696
21,Chrompet,931,1.0,1.0,9461549
22,KK Nagar,2010,3.0,2.0,11515372
23,Chrompet,1074,1.0,1.0,10002847
25,T Nagar,1685,1.0,1.0,13130325
26,Adyar,1130,1.0,1.0,13905300
27,Karapakkam,1301,1.0,1.0,8368365
28,Adyar,730,1.0,1.0,9166824
29,T Nagar,1806,2.0,1.0,11882434
30,Anna Nagar,1981,2.0,1.0,13464561
31,Adyar,868,1.0,1.0,9439900
32,T Nagar,1721,1.0,1.0,15513979
33,Velachery,1755,2.0,1.0,10702831
34,Anna Nagar,1709,1.0,1.0,13471591
35,KK Nagar,2114,3.0,2.0,18478191
36,Karapakkam,1226,1.0,1.0,5239698
37,Velachery,1648,2.0,1.0,9528316
38,Chrompet,856,1.0,1.0,10819523
39,Adyar,904,1.0,1.0,11972645
40,Chrompet,1198,1.0,1.0,8603978
41,Karapakkam,931,1.0,1.0,7402837
42,Karapakkam,1290,1.0,1.0,8201955
43,Karapakkam,507,1.0,1.0,6054496
44,KK Nagar,2492,4.0,2.0,19867776
45,Karapakkam,851,1.0,1.0,3779441
46,T Nagar,1882,2.0,1.0,16757850
47,Anna Nagar,1710,1.0,1.0,21186337
48,Karapakkam,1412,2.0,2.0,8823087
49,Adyar,779,1.0,1.0,5512842
50,T Nagar,1655,1.0,1.0,13163828
51,Karapakkam,940,1.0,1.0,6185784
52,KK Nagar,1667,2.0,1.0,11362753
53,KK Nagar,1926,3.0,2.0,17976166
54,Adyar,718,1.0,1.0,5837413
55,Karapakkam,545,1.0,1.0,4108764
56,Karapakkam,1249,1.0,1.0,9033213
57,T Nagar,1894,2.0,1.0,14118319
58,Karapakkam,1469,2.0,2.0,9897904
59,Adyar,916,1.0,1.0,6098963
60,Chrompet,934,1.0,1.0,10079914
61,Karapakkam,1691,2.0,2.0,9896884
62,Karapakkam,1236,1.0,1.0,9255369
63,T Nagar,1577,1.0,1.0,12582910
64,Anna Nagar,1915,2.0,1.0,14700118
65,Anna Nagar,1600,1.0,1.0,12397652
66,Velachery,1579,2.0,1.0,14073061
67,Adyar,1260,2.0,2.0,7213740
68,Adyar,1021,1.0,1.0,12210141
69,KK Nagar,2174,3.0,2.0,13932343
71,Adyar,668,1.0,1.0,10715485
72,Velachery,1724,2.0,1.0,9466999
73,Adyar,890,1.0,1.0,7482031
74,Adyar,1218,2.0,2.0,13090419
75,Anna Nagar,1792,1.0,1.0,14671115
76,Karapakkam,1378,2.0,2.0,10423293
77,Karapakkam,898,1.0,1.0,9190684
78,Anna Nagar,1928,2.0,1.0,12238735
79,Chrompet,1233,2.0,1.0,10170568
80,Velachery,1618,2.0,1.0,9726203
81,Karapakkam,627,1.0,1.0,6903700
82,Velachery,1563,2.0,1.0,10299127
83,Karapakkam,1693,2.0,2.0,13351965
84,T Nagar,1522,1.0,1.0,18135236
85,Adyar,1090,1.0,1.0,10304376
86,Chrompet,1085,1.0,1.0,14851860
87,T Nagar,1687,1.0,1.0,13113085
88,Adyar,692,1.0,1.0,10900422
89,T Nagar,1518,1.0,1.0,18216248
90,Adyar,1025,1.0,1.0,11426944
